Major,Total,Employed_full_time_year_round,Unemployment_rate,Median
COMMERCIAL ART AND GRAPHIC DESIGN,504657,266671,0.073919719,46600
FILM VIDEO AND PHOTOGRAPHIC ARTS,133508,69303,0.085618911,47000
ART HISTORY AND CRITICISM,90852,38989,0.063912645,44500
STUDIO ARTS,81008,36943,0.083713827,37600
MISCELLANEOUS FINE ARTS,8511,3802,0.156147487,45000
GENERAL MEDICAL AND HEALTH SERVICES,104516,53746,0.054700627,50000
COMMUNICATION DISORDERS SCIENCES AND SERVICES,74977,26085,0.046467181,42000
HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,108510,67294,0.057003977,50000
MEDICAL ASSISTING SERVICES,64316,25118,0.031356845,55000
MEDICAL TECHNOLOGIES TECHNICIANS,164990,92128,0.036209865,60000
HEALTH AND MEDICAL PREPARATORY PROGRAMS,32514,13147,0.070009785,50000
NURSING,1769892,947546,0.026796818,62000
PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,180084,89234,0.034357681,106000
TREATMENT THERAPY PROFESSIONS,252138,128115,0.026291603,61000
COMMUNITY AND PUBLIC HEALTH,56741,28912,0.066527702,47000
MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,77647,35676,0.053572714,45000
GENERAL BUSINESS,2148712,1304646,0.051377532,60000
ACCOUNTING,1779219,1095027,0.053414673,65000
ACTUARIAL SCIENCE,9763,6880,0.056063523,72000
BUSINESS MANAGEMENT AND ADMINISTRATION,3123510,1939384,0.058865337,58000
OPERATIONS LOGISTICS AND E-COMMERCE,57200,41104,0.043268259,65000
BUSINESS ECONOMICS,75547,48471,0.061748572,65000
MARKETING AND MARKETING RESEARCH,1114624,704912,0.055032889,56000
FINANCE,816548,561073,0.048472931,65000
HUMAN RESOURCES AND PERSONNEL MANAGEMENT,187274,116466,0.060748094,54000
INTERNATIONAL BUSINESS,86064,51012,0.071353708,54000
HOSPITALITY MANAGEMENT,200854,122499,0.051446983,49000
MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,156673,118249,0.043977137,72000
MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,102753,61603,0.052678561,53000
HISTORY,712509,354163,0.065851006,50000
UNITED STATES HISTORY,17746,8204,0.07349961,50000
